sku,brand,catalog,family,series,category,category_slug,name,short_desc,measuring_principle,measuring_range,accuracy,process_temp,process_pressure,process_connection,wetted_parts,output_comm,key_features,approvals,datasheet_ti,image,source_pdf,status
PTP31B,Endress+Hauser,Pressure,Ceraphant,3x,Pressure Switches (Ceraphant),press-pressure-switches-ceraphant,Ceraphant PTP31B,Pressure switch; Process pressure,Gauge / Absolute,"400 mbar to 400 bar (6 to 6,000 psi)",+/-0.3 %,-40 to +100 C (-40 to +212 F),,"Threads: G1/4,G1/2; MNPT1/4,MNPT1/2; M20x1.5; JIS R1/2",Metallic,1-2x switch output (PNP); PNP + 4-20 mA analog,"Very compact, fully welded, display",,,PTP31B.png,CP00022P_EN_2226,active
PTC31B,Endress+Hauser,Pressure,Ceraphant,3x,Pressure Switches (Ceraphant),press-pressure-switches-ceraphant,Ceraphant PTC31B,Pressure switch; Process pressure,Gauge / Absolute,100 mbar to 40 bar (1.5 to 600 psi),+/-0.3 %,-25 to +100 C (-13 to +212 F),,"Threads: G1/4,G1/2; MNPT1/4,MNPT1/2; M20x1.5; JIS R1/2",Ceramic,1-2x switch output (PNP); PNP + 4-20 mA analog,"Very compact, fully welded, display",,,PTC31B.png,CP00022P_EN_2226,active
PMP11,Endress+Hauser,Pressure,Cerabar,11,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP11,Process pressure,Gauge / Absolute,400 mbar to 40 bar (6 to 600 psi),+/-0.5 %,-25 to +85 C (-13 to +185 F),,"Threads: G1/4,G1/2; MNPT1/4,MNPT1/2; M20x1.5",Metallic,4-20 mA; 0-10 V,Compact pressure transmitter,,,PMP11.png,CP00022P_EN_2226,active
PMC11,Endress+Hauser,Pressure,Cerabar,11,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMC11,Process pressure,Gauge / Absolute,400 mbar to 40 bar (6 to 600 psi),+/-0.5 %,-25 to +85 C (-13 to +185 F),,"Threads: G1/4,G1/2; MNPT1/4,MNPT1/2; M20x1.5",Ceramic,4-20 mA; 0-10 V,Compact pressure transmitter,,,PMC11.png,CP00022P_EN_2226,active
PMP21,Endress+Hauser,Pressure,Cerabar,21,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP21,Process pressure,Gauge / Absolute,"400 mbar to 400 bar (6 to 6,000 psi)",+/-0.3 %,-40 to +100 C (-40 to +212 F),,"Threads: G1/4,G1/2; MNPT1/4,MNPT1/2; M20x1.5; JIS R1/2",Metallic,4-20 mA,Compact pressure transmitter,,,PMP21.png,CP00022P_EN_2226,active
PMC21,Endress+Hauser,Pressure,Cerabar,21,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMC21,Process pressure,Gauge / Absolute,100 mbar to 40 bar (1.5 to 600 psi),+/-0.3 %,-25 to +100 C (-13 to +212 F),,"Threads: G1/4,G1/2; MNPT1/4,MNPT1/2; M20x1.5; JIS R1/2",Ceramic,4-20 mA,Compact pressure transmitter,,,PMC21.png,CP00022P_EN_2226,active
PMP50,Endress+Hauser,Pressure,Cerabar,50,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP50,Process pressure; Level,Gauge / Absolute,"1 bar to 400 bar (14.5 to 6,000 psi)",+/-0.055 %,Standard -40 to +125 C (-40 to +257 F),,"Thread FNPT,MNPT,G1/2,M20x1.5, Oval flange NPT1/4-18",Metallic,4-20 mA HART,"Modular, 2-chamber housing, integrated display, ext. zero/span",,,PMP50.png,CP00022P_EN_2226,active
PMP50 (diaphragm seal),Endress+Hauser,Pressure,Cerabar,50,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP50 (diaphragm seal),Process pressure; Level,Gauge / Absolute,"1 bar to 400 bar (14.5 to 6,000 psi)",+/-0.15 %,Diaphragm seal -40 to +400 C (-40 to +752 F),,"Thread MNPT,G1/2,M20x1.5; Flange ASME RF, EN1092-1 RF","Metallic, diaphragm seal",4-20 mA HART,"Modular, 2-chamber housing, integrated display, ext. zero/span",,,PMP50-diaphragm.png,CP00022P_EN_2226,active
PMP51B,Endress+Hauser,Pressure,Cerabar,51B,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP51B,Process pressure; Level,Gauge / Absolute,"400 mbar to 400 bar (6 to 6,000 psi)",+/-0.055 %,-70 to +400 C (-94 to +752 F),,"Thread ASME,ISO228 G,DIN13; Flange ASME RF, EN1092-1","Metallic, diaphragm seal",4-20 mA; 4-20 mA HART; PROFINET over Ethernet-APL,"Modular, 1/2-chamber, segment display, Bluetooth",,,PMP51B.png,CP00022P_EN_2226,active
PMC51B,Endress+Hauser,Pressure,Cerabar,51B,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMC51B,Process pressure; Level,Gauge / Absolute,100 mbar to 40 bar (1.5 to 600 psi),+/-0.055 %,-40 to +100 C (-40 to +212 F),,"Thread ASME,ISO228 G,JIS,DIN13; Flange ASME RF,EN1092-1,JIS RF",Ceramic,4-20 mA; 4-20 mA HART; PROFINET over Ethernet-APL,"Modular, 1/2-chamber, segment display, Bluetooth",,,PMC51B.png,CP00022P_EN_2226,active
PMP71B,Endress+Hauser,Pressure,Cerabar,71B,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP71B,Process pressure; Level,Gauge / Absolute,"400 mbar to 700 bar (6 to 10,150 psi)",+/-0.025 %,-70 to +400 C (-94 to +752 F),,"Thread ASME,ISO228 G,JIS,DIN13; Flange ASME RF,EN1092-1,JIS RF; separator/barrel/pancake","Metallic, diaphragm seal",4-20 mA HART; PROFINET over Ethernet-APL; PROFIBUS PA,"Bluetooth, 1/2-chamber, graphic/segment display, Heartbeat, HistoROM",,,PMP71B.png,CP00022P_EN_2226,active
PMC71B,Endress+Hauser,Pressure,Cerabar,71B,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMC71B,Process pressure; Level,Gauge / Absolute,100 mbar to 40 bar (1.5 to 600 psi),+/-0.025 %,-25 to +150 C (-13 to +302 F),,"Thread ASME,ISO228 G,JIS,DIN13; Flange ASME RF,EN1092-1,JIS RF",Ceramic,4-20 mA HART; PROFINET over Ethernet-APL; PROFIBUS PA,"Bluetooth, 1/2-chamber, graphic/segment display, Heartbeat, HistoROM",,,PMC71B.png,CP00022P_EN_2226,active
PMD50,Endress+Hauser,Pressure,Deltabar,50,Deltabar Differential Pressure,press-deltabar-differential-pressure,Deltabar PMD50,Differential pressure; Level; Flow,Differential pressure,100 mbar to 40 bar (1.45 to 600 psi),+/-0.055 %,-40 to +110 C (-40 to +230 F),,NPT1/4-18 IEC61518,Metallic,4-20 mA HART,"Modular, 2-chamber housing, integrated display, ext. zero/span",,,PMD50.png,CP00022P_EN_2226,active
PMD55B,Endress+Hauser,Pressure,Deltabar,55B,Deltabar Differential Pressure,press-deltabar-differential-pressure,Deltabar PMD55B,Differential pressure; Level; Flow,Differential pressure,10 mbar to 40 bar (0.15 to 600 psi),+/-0.055 %,-40 to +110 C (-40 to +230 F),,"NPT1/4-18 IEC61518, DIN19213, coplanar; RC1/4",Metallic,4-20 mA HART; PROFINET over Ethernet-APL,"Modular, 1/2-chamber, segment display, Bluetooth",,,PMD55B.png,CP00022P_EN_2226,active
PMD75B,Endress+Hauser,Pressure,Deltabar,75B,Deltabar Differential Pressure,press-deltabar-differential-pressure,Deltabar PMD75B,Differential pressure; Level; Flow,DP / Gauge & absolute,10 mbar to 40 bar (0.15 to 600 psi); 160/240 bar gauge/abs,+/-0.035 %,-40 to +110 C (-40 to +230 F),,"IEC61518,DIN19213,coplanar,NPT1/4-18; RC1/4; Flange ASME RF,EN1092-1,JIS RF",Metallic,4-20 mA HART; PROFINET over Ethernet-APL; PROFIBUS PA,"Bluetooth, 1/2-chamber, graphic/segment display, Heartbeat, HistoROM",,,PMD75B.png,CP00022P_EN_2226,active
PMD78B,Endress+Hauser,Pressure,Deltabar,78B,Deltabar Differential Pressure,press-deltabar-differential-pressure,Deltabar PMD78B,Differential pressure; Level,Differential pressure,100 mbar to 40 bar (1.5 to 600 psi) both sides,+/-0.075 %,-70 to +400 C (-94 to +752 F),,"Separator (thread), barrel (flange), pancake","Metallic, diaphragm seal",4-20 mA HART; PROFINET over Ethernet-APL; PROFIBUS PA,"Bluetooth, 1/2-chamber, graphic/segment display, Heartbeat, HistoROM",,,PMD78B.png,CP00022P_EN_2226,active
FMD71,Endress+Hauser,Pressure,Deltabar,7x,Deltabar Differential Pressure,press-deltabar-differential-pressure,Deltabar FMD71,Electronic dp; Level,Electronic differential pressure,100 mbar to 40 bar (1.5 to 600 psi),Single sensor +/-0.05 %; system +/-0.075 %,-25 to +125/150 C (-13 to +257/302 F),,"Thread, flange, flush-mounted",Ceramic,4-20 mA HART,"Modular, 2-chamber housing, dot-matrix display",,,FMD71.png,CP00022P_EN_2226,active
FMD72,Endress+Hauser,Pressure,Deltabar,7x,Deltabar Differential Pressure,press-deltabar-differential-pressure,Deltabar FMD72,Electronic dp; Level,Electronic differential pressure,400 mbar to 10 bar (6 to 150 psi),Single sensor +/-0.05 %; system +/-0.075 %,-40 to +125/150 C (-40 to +257/302 F),,"Thread, flange, flush-mounted",Metallic,4-20 mA HART,"Modular, 2-chamber housing, dot-matrix display",,,FMD72.png,CP00022P_EN_2226,active
